x,y,z
0.170183,0.100925,-1.938363
-0.077936,0.250399,-5.782454
0.520413,0.322891,-4.656774
0.101031,0.107573,-2.221328
0.036680,0.103576,-1.941452
0.057955,0.103459,-1.917221
0.170409,0.098853,-1.937227
-0.021998,0.106317,-1.917722
-0.109685,-2.120938,-10.755262
0.033212,-0.863706,-5.729961
0.544501,-0.451449,-4.919346
0.201020,0.102622,-2.035681
0.176119,0.099273,-1.957524
-0.181396,0.053763,-2.213991
-0.224934,-0.009105,-2.221541
-0.062529,0.110670,-2.025241
0.168622,0.100593,-1.935435
0.169336,0.101066,-1.935570
0.027253,0.105792,-1.938661
0.588070,-2.823927,-12.172014
-0.242072,-1.523638,-7.737143
0.671322,0.295305,-4.679378
-0.238319,-0.138145,-2.201620
-0.066747,0.111964,-2.028694
0.085786,0.099234,-1.773269
-0.123101,0.111352,-2.071100
-0.008161,0.105324,-1.933400
0.044333,0.103622,-1.928213
-0.228163,0.027334,-2.217301
-0.229884,-0.050177,-2.227415
-0.228268,-0.016007,-2.228170
-0.222427,-0.032470,-2.219193
-0.194845,-0.145987,-2.224844
-0.213016,0.009765,-2.213658
-0.221567,0.033510,-2.210926
0.223941,0.100662,-1.994575
0.068504,0.110462,-2.091140
-0.133274,0.109546,-1.906203
1.168425,-3.006842,-13.063710
-0.500848,-0.815937,-4.578723
0.133101,0.104936,-2.089835
-0.192572,0.092828,-2.219522
-0.195100,0.091263,-2.215725
-0.225551,-0.020854,-2.220788
-0.225204,-0.009044,-2.221416
-0.224458,-0.032645,-2.223038
-0.229943,0.027225,-2.220617
-0.229056,0.028079,-2.218537
-0.229484,0.026032,-2.221961
-0.224617,0.007102,-2.219302
-0.221119,0.089467,-2.208764
-0.222573,0.090113,-2.210478
-0.219618,0.012922,-2.220263
-0.214602,-0.144246,-2.218124
0.179448,0.099668,-1.966391
0.091675,0.101458,-1.805624
-0.213102,0.010055,-2.213830
0.177645,0.099641,-1.962517
0.032810,0.101286,-1.787732
0.018810,0.108673,-1.973767
0.030276,0.105703,-1.939331
0.169282,0.100728,-1.936178
-0.068951,0.108033,-1.913116
-0.069893,0.109190,-1.911646
-0.143153,0.109883,-1.910358
0.062215,0.099814,-1.737677
-6.411040,0.061587,-4.515727
1.224020,-3.460333,-14.779231
1.457299,-3.917517,-15.145284
-0.179261,0.079402,-2.217672
0.533664,-1.644788,-9.296052
1.476413,0.298574,-4.770448
-0.230607,-0.792527,-5.466722
-0.221816,0.057149,-2.213353
-0.227031,-0.020532,-2.223939
-0.214452,0.034539,-2.214481
-0.195183,-0.148115,-2.233396
0.062957,0.104936,-2.056258
0.030739,0.100805,-1.789353
-0.068326,0.107930,-1.914681
-0.133402,0.109222,-1.906137
-0.142233,0.108902,-1.906590
0.068415,0.105003,-2.040385
0.175166,0.099416,-1.955607
0.166306,0.100044,-1.968873
0.049111,0.103477,-1.937792
0.090404,0.100485,-1.801514
1.311528,-0.975074,-6.047659
-0.219448,0.115074,-2.263377
-0.219858,0.008950,-2.237571
-0.216765,0.087386,-2.195586
-0.214667,0.034448,-2.215923
-0.216126,-0.157956,-2.219481
-0.222861,0.113928,-2.062577
0.149644,0.100060,-1.960150
-0.068788,0.108529,-1.920323
-0.038844,0.107453,-1.910290
-0.231496,0.093432,-2.103265
-0.230604,0.096314,-2.083962
-0.208226,0.114361,-2.064906
-0.230316,0.103232,-2.047709
-0.025768,0.108863,-2.037530
-0.288051,-1.369438,-7.933002
1.922139,-1.010021,-4.713463
0.856212,-2.959231,-11.628082
-0.238478,-0.168050,-2.206716
-0.221440,-0.028073,-2.203100
-0.211477,0.010765,-2.205571
-0.220007,0.087609,-2.215728
