x,y,z
2.943603,-0.106959,2.262379
3.096476,-0.327644,2.467179
2.987635,-0.104390,2.273850
3.054533,-0.108952,2.366916
1.584552,-0.115377,2.939763
1.590543,-0.323091,3.206828
1.612619,-0.241262,3.187497
1.591350,-0.415075,2.750365
1.324464,-0.050298,1.816736
1.586161,-0.683219,3.111433
1.614214,-0.211868,3.109748
1.600541,-0.362522,3.078650
1.617607,-0.123127,2.978268
2.822130,-0.723870,2.019279
2.499424,-0.088655,1.831729
1.595275,-0.428625,2.764269
1.611221,-0.207401,3.219848
1.560678,-0.344423,3.082823
0.874775,-0.035252,1.705762
0.869963,-0.034407,1.709853
1.556673,-0.317739,3.025534
0.789385,-0.031568,1.686162
0.737573,-0.032818,1.708171
0.961469,-0.036406,1.682582
-0.739515,-0.688561,3.814574
-1.503496,-0.792234,4.191306
-1.472159,-0.282040,4.152772
0.041874,-0.153222,2.094876
0.039709,-0.445876,2.121061
0.122877,-0.119484,2.098201
0.205064,-0.431093,2.103452
-0.369607,-0.030129,2.178824
0.072836,-0.057461,2.091793
0.014398,-0.115435,2.077978
0.224275,-0.480689,2.152326
0.045901,-0.100591,2.118934
0.033975,-0.209673,2.109222
0.103309,-0.452568,2.156165
-0.010343,-0.012506,1.724911
0.112611,-0.433616,2.101293
-0.026426,-0.439611,2.112414
0.079143,-0.139521,2.097488
0.236183,-0.433764,2.109693
0.025415,-0.426138,2.099536
0.065479,0.004471,1.253801
-0.027289,-0.436320,2.080272
0.206675,-0.436600,2.117189
-0.177005,-0.344084,2.103324
0.082232,-0.284686,2.102722
-0.057408,-0.353642,2.140920
-0.705368,-0.901524,3.831601
0.827496,-0.053044,2.039031
1.600567,-0.334039,3.145145
2.998918,-0.358332,3.496090
1.742698,-0.096037,2.433559
1.227560,-0.857219,3.984760
1.358875,-1.076803,4.783929
1.581230,-0.353867,3.057119
1.596373,-0.572583,3.263322
1.601537,-0.225755,3.009476
0.666970,-0.034734,1.780286
1.619383,-0.211802,3.075306
0.679129,-0.021710,1.513328
1.060988,-0.039883,1.706514
0.702052,-0.031756,1.704585
0.950713,-0.036382,1.714885
0.676412,-0.027086,1.602324
0.685028,-0.027518,1.638649
0.672030,-0.027737,1.635761
2.898978,-0.030087,0.588118
2.716975,-0.055593,1.136101
2.872197,-0.034899,0.734276
2.930875,-0.212488,0.474381
2.918967,-0.207282,0.311918
2.988869,-0.212180,0.204007
2.918300,-0.037562,0.204166
2.943053,-0.010563,0.245114
2.955414,-0.197844,0.216587
2.963850,-0.020289,0.379737
2.948612,-0.431715,0.654034
2.972064,-0.240317,0.670872
2.945679,-0.335917,0.803941
2.154339,-0.041807,1.070369
2.929670,-0.329110,0.825488
2.391925,-0.049936,1.061538
2.387478,-0.049779,1.064561
2.153381,-0.042085,1.070882
2.927518,-0.420056,0.240165
2.976370,-0.008634,0.217536
2.945232,-0.420966,0.459858
2.931184,-0.215221,0.499690
2.921953,-0.176115,0.595730
2.935776,-0.025414,0.604240
2.958300,-0.439404,0.848562
2.924588,-0.240677,0.893086
2.934803,-0.246934,0.981935
2.930949,-0.237843,1.053041
2.518901,-0.060222,1.193636
2.514909,-0.060624,1.183029
2.982703,-0.070752,0.224449
2.923963,-0.412516,0.268911
2.962046,-0.018330,0.353462
2.945939,-0.213945,0.425164
2.913239,-0.217423,0.478123
2.932766,-0.175778,0.594445
2.935030,-0.217524,0.574509
2.965595,-0.309089,0.611005
2.887874,-0.034033,0.696718
2.846796,-0.020423,0.523504
2.939155,-0.033944,0.743308
2.949140,-0.241015,0.815176
2.933680,-0.241663,0.884862
2.933694,-0.244899,0.932312
2.925501,-0.118604,0.989151
2.957538,-0.034164,0.166819
2.912940,-0.417959,0.241827
2.947878,-0.425697,0.220494
2.943553,-0.437347,0.249217
2.947453,-0.210362,0.292934
2.940659,-0.215464,0.425575
2.875447,-0.213337,0.493767
2.958452,-0.425829,0.454568
3.001575,-0.227016,0.458861
2.929703,-0.176336,0.589458
2.930156,-0.216657,0.526874
2.957330,-0.309255,0.616952
2.955550,-0.307587,0.616877
2.948810,-0.219520,0.666267
2.923046,-0.328006,0.828695
2.988156,-0.341135,0.803772
2.953431,-0.334921,0.818282
2.941122,-0.334160,0.953428
2.957717,-0.452750,0.969427
2.949750,-0.316239,1.002985
2.946127,-0.314227,1.001984
2.509598,-0.098290,1.226629
2.508404,-0.280785,1.216889
2.510003,-0.120638,1.264930
2.510162,-0.120724,1.265104
2.506148,-0.194095,1.257291
2.507262,-0.064476,1.326109
2.522027,-0.297009,1.364595
2.513778,-0.234989,1.323843
2.518183,-0.296160,1.363441
2.514196,-0.295622,1.363357
2.514632,-0.219657,1.359367
2.500253,-0.121091,1.264737
2.940901,-0.422344,0.225345
2.926396,-0.031128,0.663671
2.925558,-0.429850,0.862631
2.511665,-0.121277,1.264428
2.511935,-0.146420,1.340987
2.452347,-0.060297,1.248495
2.279247,-0.045312,1.060513
2.927835,-0.035982,0.749807
-1.570652,-0.327772,0.792754
-0.301460,0.049080,0.518399
2.940311,-0.160419,3.391318
2.839968,-0.728020,2.024418
2.964384,-0.747390,2.145493
3.041836,-0.759934,2.189861
2.954612,-0.738165,2.178637
3.149104,-0.141006,2.383852
3.056814,-0.130842,2.344318
2.775384,-0.710692,1.896365
2.779697,-0.711293,1.947408
2.801074,-0.105183,2.165241
2.971771,-0.368227,3.733153
2.928743,-0.717375,2.185409
2.826230,-0.725845,1.960833
2.828407,-0.724947,1.890790
3.271874,-0.708948,2.365638
2.759430,-0.101148,2.163759
2.899796,-0.306172,2.264836
2.917357,-0.683488,2.255933
1.282063,-0.061840,2.057327
2.839659,-0.422680,3.884911
2.480254,-0.134024,1.854891
2.708922,-0.547543,2.080437
2.662988,-0.413016,2.069716
2.667352,-0.471644,2.067177
1.598004,-0.105237,2.826209
1.615942,-0.178439,2.782847
1.936776,-0.091088,2.347223
1.945845,-0.091562,2.351038
1.318671,-0.055079,1.921420
2.692817,-0.603567,2.063154
2.617756,-0.288047,2.069606
1.304108,-0.054151,1.907040
1.603799,-0.122670,2.956284
2.553888,-0.288476,1.770115
2.516756,-0.099288,1.848075
2.514514,-0.177280,1.807805
2.550928,-0.179065,1.891832
2.774988,-0.708957,1.947913
2.701672,-0.471934,2.083157
2.621652,-0.531106,2.056317
2.783638,-0.710141,1.815684
2.767441,-0.703696,1.710650
2.764484,-0.704086,1.753587
2.809761,-0.714358,1.777422
2.747035,-0.691971,1.687952
2.521008,-0.101332,1.978956
0.997669,-0.039144,1.683356
0.859953,-0.035682,1.705308
0.827908,-0.033870,1.706269
0.863673,-0.034173,1.707108
2.710693,-0.399386,2.093660
2.690458,-0.496049,2.076930
2.763381,-0.703049,1.773428
1.326342,-0.047313,1.680271
1.075843,-0.038780,1.680226
1.013631,-0.039240,1.704038
2.509761,-0.129159,1.787810
2.468183,-0.206102,1.785370
2.803572,-0.139346,1.780391
2.498701,-0.170865,1.683679
1.325667,-0.075833,2.431675
1.317061,-0.076084,2.421409
2.725000,-0.209283,2.109863
2.622270,-0.263230,2.071203
2.649106,-0.264236,2.077989
0.943209,-0.036437,1.705543
0.856274,-0.033851,1.683157
0.825686,-0.033143,1.688488
0.858353,-0.033734,1.684445
1.006758,-0.039620,1.702201
0.804182,-0.503397,4.092456
0.401971,-0.110895,2.091752
0.400989,-0.335369,2.089867
-0.783676,-0.614732,3.839844
-1.697448,-0.296301,4.292376
-0.942405,-0.126291,3.673948
-1.510104,-1.109240,4.178001
0.723052,-0.555343,3.608452
0.603177,-0.248951,2.994236
-0.732828,-0.841783,3.882686
0.985713,-1.357951,4.116149
1.069893,-1.077886,3.932495
-0.113558,0.039457,0.504515
-1.785015,-1.268727,4.066184
0.848463,-1.306867,3.978842
0.701639,-0.847725,3.154110
0.487372,-0.601754,2.470154
-0.856708,-0.278941,3.647451
-0.053210,-0.458613,2.115467
-0.229794,-0.037425,2.165965
0.053739,-0.002922,1.374746
0.051067,0.039219,0.430886
0.045138,0.014507,1.037764
0.235071,0.005725,1.106288
-0.048449,0.038958,0.510800
0.430405,-0.590597,2.233642
0.893785,-1.089099,4.048340
0.229755,-0.291374,2.113717
0.433098,-0.540383,2.245788
-0.051041,-0.430403,2.096994
0.439659,-0.606190,2.299575
-1.850402,-0.461244,4.253519
-0.050957,0.038332,0.512529
-0.110775,0.038598,0.503696
-0.260373,-0.073070,2.195241
-0.687918,-1.038868,3.923663
-0.761107,-0.138402,4.444981
0.953929,-0.181825,3.987200
-0.775224,-0.349415,3.312235
0.025449,0.011492,1.115564
-0.709288,-0.584443,3.510725
-0.740094,-0.370828,3.490352
-0.757170,-0.574058,3.459862
-0.243446,-0.150481,2.175664
-0.663013,-0.653351,3.579320
1.026790,-1.275962,4.108139
-0.858193,-0.275015,3.659426
-0.630804,-0.979450,3.721915
-1.474217,-0.212841,4.122569
-0.755577,-0.703460,3.883889
-0.745551,-0.947468,3.930851
-0.870772,-0.273409,3.727617
-0.910196,-0.299188,3.822791
-1.306514,-1.136151,4.241195
-0.763197,-0.668155,4.060441
-0.722398,-0.654149,3.452522
0.417837,-0.087727,2.156935
0.855627,-0.927700,3.808590
0.054601,-0.422846,2.086270
-0.029753,-0.450521,2.129225
0.085861,-0.434679,2.095412
0.058839,-0.002604,1.376972
0.009980,-0.479674,2.114214
0.055553,-0.002550,1.385735
0.025714,0.011154,1.116352
-0.735831,-0.565183,3.387166
0.075979,-0.143464,2.100584
0.032707,-0.367079,2.092131
0.044302,0.015936,1.020136
0.096670,-0.274730,2.081759
1.096292,-0.968199,3.967676
-1.449908,-0.357549,4.087613
-0.079688,-0.119114,2.142874
-1.472467,-0.231554,4.151568
-0.747572,-0.692383,3.837083
-0.058496,-0.352262,2.131618
0.073956,-0.183958,2.143364
1.226396,-0.577854,-3.022474
0.567068,-0.372802,-2.552196
1.040051,-0.563283,-2.617406
1.771215,-0.109875,-1.934893
1.675864,-0.040005,-1.920079
1.716445,-0.340372,-2.016500
1.865069,0.062581,-1.091095
1.851699,0.059810,-0.933222
1.874193,0.057352,-0.920651
1.855283,0.057171,-0.874879
1.778912,-0.089703,-1.897372
1.737339,-0.107023,-1.927135
1.467406,0.006945,-1.796374
1.849563,0.067677,-1.168605
1.850454,0.066401,-1.123945
1.867332,0.062315,-0.995317
1.485389,0.095055,-1.862722
1.590091,-0.112527,-1.868404
1.848814,0.068716,-1.222475
1.722927,-0.034268,-1.934446
1.940637,-0.512956,-2.430805
2.333943,-0.042092,-2.723609
2.852105,-0.543729,-2.046383
2.467572,0.055078,-1.731517
2.456452,0.063991,-2.034481
2.255802,-0.479674,-2.205113
2.285401,-0.517533,-2.225367
2.818717,-0.523234,-1.822506
2.897812,-0.362626,-1.559766
2.479680,0.074561,-2.230077
1.784610,0.045116,-1.821461
1.714556,-0.051494,-1.943939
2.687863,-0.430920,-1.917692
1.898425,0.037033,-1.650593
2.456517,0.017380,-0.450754
2.263142,0.028636,-0.391381
2.226899,0.023068,-0.292352
2.311230,0.016655,-0.184671
2.313259,0.017552,-0.188760
2.310082,0.016395,-0.180960
1.842947,-0.006011,-1.804176
2.917017,-0.182046,-1.229742
2.910333,0.030698,-1.121222
2.895597,-0.248284,-1.219960
2.507294,-0.566697,-1.790323
1.667116,-0.409615,-1.745526
2.161809,0.020549,-0.169612
2.268012,0.015118,-0.129950
2.198349,0.016023,-0.096290
2.845702,-0.729635,1.917297
2.584168,-0.293539,2.073574
3.023733,-0.637673,2.280419
2.975458,-0.741224,2.223598
3.016997,-0.374060,2.299990
2.981384,-0.738875,2.199776
2.969793,-0.604462,2.263168
2.817384,-0.452163,2.224002
3.024108,-0.617298,2.281220
2.959306,-0.418713,2.271909
3.103441,-0.031766,0.841517
2.672400,-0.445362,2.077836
2.816604,-0.700544,2.086153
2.964015,-0.437140,2.236557
3.025967,-0.600338,2.291993
2.564129,-0.099297,2.042188
2.480224,-0.133747,1.436671
2.545022,-0.336463,1.525296
2.468283,-0.110360,1.443933
2.916977,-0.527464,2.264989
2.958091,-0.410154,2.281004
2.928183,-0.704678,2.225642
2.523619,-0.073616,1.541003
2.596493,-0.324393,2.063262
2.559457,-0.437421,1.553916
1.273107,-0.046224,1.656522
-1.573228,-0.456314,3.950468
-1.597215,-0.773639,4.309801
-1.260488,-1.127687,3.943745
-1.624536,-0.991771,4.261971
