frame_id,x,y,z,yaw
1117,6.36206,-0.0576998,-4.57226,0.332888
1118,6.38229,-0.0581191,-4.57067,0.374238
1120,6.41585,-0.0590364,-4.5668,0.360079
1121,6.43013,-0.0598731,-4.56553,0.37237
1123,6.46127,-0.0620797,-4.56237,0.369697
1125,6.49571,-0.0627311,-4.55911,0.398108
1127,6.52817,-0.064242,-4.55561,0.378414
1122,6.44903,-0.0604022,-4.56361,0.36072
1126,6.51372,-0.063742,-4.55667,0.365367
1129,6.56765,-0.0656845,-4.55126,0.370149
1124,6.4812,-0.0619468,-4.56049,0.380137
1130,6.5852,-0.0665693,-4.54976,0.386226
1128,6.54913,-0.0649557,-4.55324,0.391692
1134,6.66349,-0.0695969,-4.54131,0.401785
1131,6.59756,-0.0666805,-4.54843,0.386358
1132,6.61356,-0.0679795,-4.54679,0.378744
1135,6.67766,-0.0705813,-4.53975,0.398342
1136,6.69608,-0.0712921,-4.53737,0.374151
1138,6.72872,-0.0728472,-4.53392,0.377279
1137,6.71017,-0.0717823,-4.53582,0.375936
1141,6.777,-0.0748526,-4.52833,0.380158
1140,6.75698,-0.0742728,-4.53051,0.386386
1139,6.74396,-0.0732303,-4.53167,0.383949
1142,6.79135,-0.0751763,-4.52668,0.386809
1144,6.82509,-0.0753151,-4.52344,0.367487
1147,6.875,-0.0776689,-4.5178,0.373091
1145,6.84144,-0.0770178,-4.52142,0.370273
1143,6.81001,-0.0751977,-4.52391,0.365032
1146,6.85582,-0.0768839,-4.52021,0.375781
1152,6.95673,-0.0801975,-4.5081,0.345412
1148,6.88917,-0.0780674,-4.51591,0.35048
1149,6.90891,-0.0783431,-4.51381,0.369727
1153,6.97655,-0.080891,-4.50611,0.345369
1160,7.08856,-0.0853281,-4.49421,0.357052
1151,6.94088,-0.0807386,-4.51032,0.343553
1154,6.99165,-0.0810483,-4.5044,0.343859
1157,7.03683,-0.0832472,-4.50038,0.362845
1158,7.0554,-0.0836291,-4.49805,0.352415
1156,7.02437,-0.0826941,-4.50115,0.366168
1161,7.10141,-0.0854647,-4.49289,0.362621
1162,7.12055,-0.0865032,-4.49024,0.346759
1168,7.22007,-0.0898571,-4.47868,0.334168
1164,7.15346,-0.0877548,-4.4863,0.343465
1163,7.13489,-0.0865772,-4.48817,0.327051
1170,7.25221,-0.090988,-4.47491,0.326105
1166,7.18812,-0.0889823,-4.48232,0.33284
1181,7.43768,-0.0970815,-4.45273,0.344918
1180,7.4172,-0.0972877,-4.45511,0.324631
1175,7.33558,-0.0938497,-4.46462,0.331521
1172,7.28413,-0.0923194,-4.47185,0.343491
1171,7.2664,-0.0911177,-4.47347,0.336992
