x,y,z
0.784558,-0.019727,0.134073
0.749970,-0.085694,0.170136
0.769009,-0.024861,0.156070
0.766902,-0.127140,0.191655
0.741225,0.060238,0.164052
0.725257,0.081508,0.179421
0.674165,-0.075305,0.268772
0.636336,0.073078,0.267917
0.773888,-0.027250,0.157609
0.763225,-0.124204,0.176719
0.760923,-0.086579,0.174484
0.733823,-0.082938,0.165411
0.745355,0.013403,0.160971
0.756061,-0.158681,0.174739
0.756345,-0.088160,0.181085
0.746294,0.076224,0.163373
0.751563,-0.166703,0.199627
0.745267,0.186952,0.149427
0.642189,-0.079454,0.316391
0.651551,-0.059791,0.304971
0.655062,0.006439,0.270518
0.647523,-0.058277,0.300297
0.642140,-0.063549,0.303058
0.648353,-0.108220,0.324420
0.639562,-0.036141,0.304838
0.623615,0.000182,0.310511
0.714540,0.065987,0.176642
0.721016,0.066696,0.180579
0.712648,-0.107650,0.200588
0.714093,-0.086254,0.225938
0.697937,0.053256,0.205968
0.692481,0.124952,0.185891
0.698028,0.126099,0.186695
0.683861,0.013915,0.239512
0.678047,0.122887,0.204756
0.674005,0.087847,0.223966
0.621500,0.092130,0.280567
0.624436,0.059674,0.285534
0.611529,-0.010606,0.318747
0.859089,0.213107,-0.009593
0.856141,0.211210,-0.011088
0.864945,0.196878,-0.051587
0.787935,0.210358,0.173338
0.866623,0.281978,-0.039779
0.600551,0.054021,0.316657
0.600857,0.087991,0.311919
0.834926,0.253342,0.059238
0.668388,0.086918,0.220766
0.670716,0.118176,0.198990
0.655903,0.084829,0.244369
0.651774,0.042057,0.261396
0.663349,0.041648,0.279802
0.643650,0.088260,0.261668
0.891314,0.259214,-0.028163
0.940201,0.276901,-0.021257
0.644017,-0.014353,0.278507
0.644607,-0.065123,0.306870
0.586627,0.072151,0.323548
0.750260,-0.122726,0.181447
0.643517,-0.077923,0.305563
0.637679,-0.063014,0.299011
0.676335,-0.087344,0.267774
0.661501,-0.000493,0.268069
0.655771,0.006776,0.271211
0.659034,0.041044,0.275308
0.654907,0.041334,0.264894
0.679626,0.013840,0.235762
0.680041,0.014142,0.235354
0.621775,0.044993,0.297062
0.607261,0.068350,0.309211
0.608375,0.068473,0.309224
0.644593,0.074618,0.272560
0.639973,0.074494,0.268640
0.622293,0.071186,0.284178
0.657375,0.084914,0.246399
0.646811,0.096155,0.263090
0.634024,0.086413,0.254720
0.637429,0.095291,0.263625
0.701255,0.053152,0.205096
0.703800,0.054003,0.206731
0.653709,0.098477,0.238393
0.703389,0.053846,0.205232
0.700614,0.053915,0.203623
0.659676,-0.080392,0.281147
0.656203,0.098567,0.243777
0.680790,-0.076332,0.272332
0.639192,-0.053976,0.301601
0.677803,-0.077150,0.270242
0.691913,-0.116176,0.246848
0.675994,-0.076563,0.268243
0.678563,-0.077361,0.269116
0.636230,-0.045005,0.301891
0.678791,-0.086986,0.266318
0.673369,-0.060076,0.273477
0.674950,-0.076598,0.264558
0.674754,-0.056367,0.270024
0.643265,-0.035554,0.307238
0.669573,-0.055317,0.266375
0.721099,-0.090784,0.212613
0.673626,-0.042917,0.277245
0.672418,-0.042721,0.273161
0.665285,-0.023678,0.269806
0.667522,-0.049591,0.271659
0.712527,-0.113290,0.225872
0.645577,-0.015075,0.292831
0.709827,-0.112144,0.222280
0.634099,-0.016381,0.301120
0.670630,-0.040669,0.270771
0.699711,-0.069746,0.255145
0.666892,-0.037861,0.267537
0.687128,-0.068298,0.246102
0.659388,-0.031797,0.277852
0.669448,-0.036645,0.268761
0.663832,-0.017885,0.266914
0.657089,-0.005276,0.266861
0.661979,-0.004923,0.273331
0.712286,-0.108257,0.200538
0.688527,-0.038991,0.246289
0.657683,-0.002185,0.266723
0.687217,-0.038259,0.244575
0.652377,0.005454,0.277414
0.689852,-0.038278,0.245779
0.749504,-0.090056,0.183207
0.649457,0.005824,0.276080
0.687426,-0.047804,0.241946
0.653998,0.011313,0.266379
0.692979,0.091578,0.202356
0.697119,0.092639,0.203898
0.683999,0.120082,0.206992
0.677254,0.115785,0.202900
0.674438,0.115149,0.201420
0.695336,0.125776,0.184785
0.694141,0.125670,0.182723
0.603849,0.067153,0.305251
0.595558,0.086988,0.308103
0.625327,0.058790,0.288726
0.627219,0.059371,0.288450
0.623513,0.058807,0.284911
0.617788,0.082731,0.284826
0.619032,0.091485,0.287830
0.635541,0.048324,0.277246
0.637254,-0.045259,0.302830
0.636864,0.002799,0.289503
0.612127,-0.010698,0.316820
0.608626,-0.001350,0.319734
0.626624,-0.017952,0.309232
0.644189,-0.054505,0.305878
0.637339,-0.052894,0.296717
0.627319,-0.017623,0.308045
0.629628,-0.017666,0.297739
0.631564,-0.017376,0.300112
0.590917,0.071886,0.327519
0.587377,0.071811,0.325598
0.631885,-0.016839,0.299409
0.589325,0.077148,0.326366
0.637656,-0.015727,0.294828
0.637401,-0.105746,0.314216
0.641148,-0.122011,0.311884
0.640838,-0.121001,0.310996
0.615281,-0.029024,0.316687
0.654219,-0.102022,0.290211
0.629457,-0.065637,0.314635
0.655190,-0.102251,0.290783
0.659040,-0.102401,0.292693
0.636244,0.048173,0.277881
0.618480,0.000859,0.303910
0.631820,0.001238,0.303410
0.628664,0.001356,0.301883
0.634247,-0.002721,0.297777
0.867924,0.262062,-0.208384
0.912616,0.028292,-0.364709
1.530318,-0.113845,-0.680958
1.349280,0.087052,-0.606480
0.919298,-0.063797,-0.414989
0.958686,-0.136926,-0.156014
1.343130,-0.093459,-0.604766
1.520282,-0.110222,-0.674583
1.534209,-0.112471,-0.675038
1.433063,-0.098058,-0.634018
1.431861,-0.064074,-0.636169
1.422937,-0.001025,-0.589099
1.431723,-0.030315,-0.673590
1.399130,0.041657,-0.611903
1.388506,0.046374,-0.592336
1.408523,0.046171,-0.599110
1.402316,0.046405,-0.598434
1.399458,0.006189,-0.640314
1.375072,-0.012065,-0.665032
1.204055,0.230225,-0.492605
1.165039,0.233180,-0.517874
1.065621,0.234065,-0.433836
1.124280,0.261728,-0.496066
1.126746,0.263002,-0.496242
1.046541,0.362651,-0.448353
0.963078,-0.153382,-0.308623
0.957420,-0.152507,-0.307393
0.936615,-0.106350,-0.223623
0.918102,-0.020100,-0.372605
0.902578,0.027891,-0.263976
0.904736,0.027854,-0.361612
0.874251,0.169054,-0.150138
0.970509,-0.227902,-0.089081
0.953405,-0.202027,-0.140119
0.955156,-0.201888,-0.140440
0.959309,-0.203765,-0.140549
0.956796,-0.184049,-0.156122
0.944994,-0.167921,-0.130447
0.966337,-0.188218,-0.178080
0.926121,-0.101610,-0.156316
0.940528,-0.089301,-0.148247
0.949290,-0.164481,-0.233256
0.947374,-0.163418,-0.232814
0.913544,-0.003171,-0.116349
0.944867,-0.144648,-0.257724
0.902300,0.085427,-0.096064
0.930938,-0.104925,-0.300683
0.935002,-0.091773,-0.225641
0.933622,-0.099577,-0.259839
0.923431,-0.050235,-0.138054
0.934440,-0.114635,-0.381295
0.941443,-0.116225,-0.382529
0.941323,-0.091542,-0.378252
0.913609,-0.086823,-0.374611
0.943864,-0.065825,-0.383173
0.919170,-0.064446,-0.415572
0.940482,-0.065104,-0.421323
0.940992,-0.068234,-0.421902
0.929854,-0.044127,-0.368422
0.913929,-0.019655,-0.370772
0.933940,-0.089300,-0.237295
0.919964,-0.052725,-0.243095
0.925189,-0.081873,-0.247292
0.895422,0.106425,-0.120994
0.945107,-0.109286,-0.301963
0.885581,0.144325,-0.103558
0.948123,-0.108804,-0.304754
0.929767,-0.105630,-0.300865
0.855444,0.207975,-0.002072
0.885552,0.119695,-0.174687
0.890093,0.120873,-0.175507
0.945572,0.269192,-0.070973
0.955586,-0.170792,-0.130956
0.957856,-0.170540,-0.130275
0.951806,-0.168332,-0.132160
0.954689,-0.135547,-0.149190
0.936577,-0.141837,-0.158893
0.946489,-0.143096,-0.159559
0.954112,-0.154950,-0.163208
0.939551,-0.127662,-0.154839
0.946931,-0.142846,-0.159785
0.910632,0.013333,-0.113603
0.892992,0.052595,-0.100303
0.910567,0.044580,-0.125950
0.899742,0.081470,-0.110571
0.874826,0.165557,-0.080333
0.880427,0.130283,-0.105680
0.865141,0.178220,-0.364429
0.869132,0.179032,-0.365502
0.858232,0.214663,-0.357373
0.859429,0.247074,-0.309566
0.891732,0.079584,-0.221340
0.875158,0.184528,-0.183463
0.870008,0.215836,-0.179264
0.729580,0.083043,0.158602
0.869345,0.219591,-0.202466
0.879178,-0.143584,0.049927
0.851936,-0.124405,0.069674
0.854516,0.208743,0.021619
0.818879,0.074034,0.142632
0.761257,0.109863,0.117367
0.870960,0.183648,-0.185010
0.872057,0.199638,-0.307726
0.823504,-0.144902,0.117906
0.789442,0.002733,0.139684
0.937928,-0.155931,0.057224
0.729140,0.064972,0.101160
0.831925,-0.138624,0.092120
0.786381,-0.019582,0.135265
0.938611,0.272274,-0.067268
0.888614,0.107971,-0.015450
0.922264,0.011402,-0.132145
0.869375,0.176767,-0.059634
0.822492,-0.144599,0.117043
0.772125,0.080166,0.114495
0.738416,0.077100,0.108254
0.933969,-0.125391,-0.155521
0.940285,-0.127212,-0.154402
0.903273,0.001734,-0.138419
0.893704,-0.004549,-0.202799
0.929548,-0.081938,-0.249757
0.903584,-0.156008,-0.015328
0.890290,0.101073,-0.177462
0.875093,0.216699,0.022517
0.833201,0.164168,-0.163388
0.885067,0.183697,-0.148837
0.853298,0.207379,-0.003520
0.873167,0.183228,-0.176041
0.935120,-0.087652,-0.149517
0.915915,-0.132488,0.012065
0.916520,-0.131945,0.010615
0.909091,0.061809,-0.354398
0.870801,0.203980,-0.327851
0.863755,0.211227,-0.170799
0.871263,0.134339,-0.017487
0.778140,0.024705,0.120494
0.166055,-0.215013,0.608079
0.267948,-0.065459,0.570063
0.059364,0.163416,0.825735
0.079023,0.157719,0.714999
-0.010580,-0.210820,0.706501
0.357424,0.147558,0.663260
0.083260,-0.176570,0.657646
0.136247,0.142277,0.655972
0.313911,0.099880,0.690808
0.163100,0.121076,0.644347
0.099995,-0.226029,0.647298
0.211203,-0.059301,0.602943
0.287327,-0.132786,0.558003
0.220657,0.076638,1.013841
0.222112,0.077459,1.012207
0.091525,0.060692,0.934800
0.104018,0.081032,0.881889
0.035307,0.103410,0.862379
-0.034580,0.006772,0.722657
-0.031645,0.007017,0.716470
-0.013719,-0.141481,0.703208
0.310455,0.125137,0.689203
0.024003,-0.072606,0.693784
-0.014715,0.181680,0.701715
0.048043,-0.136487,0.661841
0.054876,-0.148431,0.683175
0.045736,-0.034942,0.677053
0.102820,0.178687,0.673599
0.056288,-0.089758,0.673089
0.251811,0.163157,0.656919
0.076336,-0.002524,0.660624
0.248578,0.161480,0.647943
0.137875,0.134255,0.633888
0.298112,0.165960,0.646236
0.253800,-0.157733,0.574947
0.257243,-0.198415,0.573226
0.187535,-0.132920,0.535501
0.212589,-0.055205,0.598380
0.242877,-0.208793,0.582771
0.210749,-0.001774,0.592753
0.211664,0.000697,0.593806
0.221603,0.179432,0.578952
0.213051,-0.096399,0.592993
0.036690,0.181298,0.589517
0.243665,0.186837,0.519731
0.095403,0.076669,0.965062
-0.068812,0.187333,0.633616
0.109670,0.087153,0.918454
-0.069572,0.188691,0.639271
0.256785,-0.122329,0.570845
-0.174980,0.182406,0.575356
0.179563,0.184602,0.540755
0.123223,0.187941,0.537762
0.123041,0.187752,0.537735
0.163879,0.123550,0.653458
0.156341,0.121334,0.644861
0.179705,0.095452,0.651446
0.110732,-0.087046,0.638438
0.110519,-0.139591,0.653580
0.121453,-0.151567,0.643289
0.136517,-0.160501,0.637949
0.265526,0.170857,0.625772
0.135916,-0.100360,0.640639
0.018153,0.177997,0.621069
0.194448,0.180961,0.557247
-0.190400,0.188469,0.561181
0.161148,0.184838,0.547475
0.160500,0.184746,0.545197
0.211751,0.182587,0.546992
0.250004,-0.174529,0.575007
0.257210,-0.163308,0.577442
-0.174414,0.182323,0.578297
0.277360,-0.108170,0.564325
0.280814,-0.194012,0.568738
0.252126,0.184638,0.543195
0.240744,-0.123875,0.582301
0.233510,-0.156460,0.585427
0.247735,-0.073956,0.575602
0.915177,0.009899,-0.361121
0.869146,0.253012,-0.163468
1.477525,-0.109721,-0.600107
0.875986,0.213220,-0.291654
1.424790,-0.054631,-0.550420
0.892326,0.174128,-0.286443
0.839979,0.256486,-0.345429
0.877359,0.216499,-0.178906
0.879866,0.195803,-0.274628
0.917432,-0.000076,-0.239738
